row_index,ResponseId,question,scenario,lab_like,premium_like,basic_like,cluster4,segment
1,R_1ISSVTIOnPJXekC,45,4,5.0,3.0,7.0,3,Basic-first
2,R_7liY4XbxkhD6dE2,51,10,4.0,5.0,5.0,1,Mixed
3,R_1YncfbKdOsKwWPu,47,6,5.0,4.0,5.0,1,Mixed
4,R_7rSmf4wO8btejI6,43,2,2.0,4.0,7.0,3,Basic-first
5,R_7dR7hKV4T4XnYPc,65,24,1.0,4.0,6.0,3,Basic-first
6,R_58BVICaWSqYvdNp,59,18,2.0,6.0,5.0,0,Premium-first
7,R_7Kx4QI193xtBYFq,68,27,1.0,7.0,5.0,0,Premium-first
8,R_5K7Gd3dYqmmxjHQ,59,18,1.0,6.0,6.0,0,Premium-first
9,R_6E3Cur95KnC0mYN,42,1,2.0,1.0,7.0,3,Basic-first
10,R_5dW7QwXXNmSSLmN,64,23,2.0,7.0,2.0,0,Premium-first
11,R_5wRktamZTfPDh2Y,56,15,1.0,7.0,7.0,0,Premium-first
12,R_5AuWMuwwBk5ghrP,50,9,1.0,7.0,6.0,0,Premium-first
13,R_6erf01s5x2s1mdX,47,6,1.0,6.0,7.0,0,Premium-first
14,R_6Pt0n8I0WD2Qjq8,49,8,4.0,7.0,3.0,1,Mixed
15,R_5kFGFutTkz0NwNc,64,23,4.0,6.0,6.0,1,Mixed
16,R_1lEaqdOXbsZXqSN,67,26,7.0,6.0,1.0,1,Mixed
17,R_3dWuYoHAgCUmZHg,60,19,6.0,4.0,7.0,3,Basic-first
18,R_1nlx6TATB16RkYR,50,9,6.0,5.0,3.0,1,Mixed
19,R_3HkvhU6az09rhff,55,14,5.0,4.0,5.0,1,Mixed
20,R_6XdsbZkvYUsMufM,59,18,1.0,6.0,4.0,0,Premium-first
21,R_7CwAPUaH3VPNbZv,46,5,1.0,3.0,6.0,3,Basic-first
22,R_7NDGtj6rECGMZFU,48,7,4.0,4.0,1.0,2,Low-interest all
23,R_5n8CMOBWPOMVXgd,49,8,2.0,7.0,6.0,0,Premium-first
